Status,Fit Category,Fit Score,Opportunity Stage,Opportunity Title,Agency,Office,Notice Type,Notice ID,Solicitation Number,Due Date,Days Until Due,NAICS,PSC,Set-Aside,Place of Performance,Contract Value / Ceiling,Contract Value Source Text,Why It Fits Butler,Feasibility Concern,Recommended Next Step,SeaPort / Vehicle Required,Eligibility Status,Eligibility Requirement,Prime Feasibility,Subcontract / Teaming Path,Eligibility Notes,SAM.gov Link,Attachment Links,Contact Name,Contact Email,Search Source,Refresh Status,Data Confidence,Rejection Reason,Raw Notice Type,Matched Negative Keywords,Capacity / Logging Notes
Rejected,D,3,RFP / Solicitation,"16--GENERATOR,VARIABLE, IN REPAIR/MODIFICATION OF",DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP WEAPON SYSTEMS SUPPORT.NAVSUP WSS PHILADELPHIA.NAVSUP WEAPON SYSTEMS SUPPORT,,Solicitation,2fdc863660e14c15b3ac89f141c4f018,N0038326RHA76,2026-12-03,85,336413,1680,,,Not stated,,"Not a Butler-fit opportunity under the current conservative filter. Matched: navy, navsup.",None identified,Ignore,No obvious vehicle restriction,Not Applicable,No special eligibility found in SAM.gov fields.,Prime feasible,Monitor as a direct pursuit unless attachments indicate otherwise.,None detected,https://sam.gov/workspace/contract/opp/2fdc863660e14c15b3ac89f141c4f018/view,"{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=2fdc863660e14c15b3ac89f141c4f018&limit=1'}",Telephone: 2156972974,ALBERT.J.RUSSO17.CIV@US.NAVY.MIL,Primary NAICS 336413,Partial Refresh — Capacity Reached,High,Below Butler-fit threshold,solicitation,,No downloadable attachment links found.
Rejected,D,5,Sources Sought / RFI,Resilient Ultra Short Pulsed Laser Sources - RFI,DEPT OF DEFENSE.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).DEF ADVANCED RESEARCH PROJECTS AGCY,,Special Notice,ff4a04859a05458a9f7437c9d33e6c68,DARPA-SN-26-124,2026-11-20,72,541715,AC12,,,Not stated,,"Not a Butler-fit opportunity under the current conservative filter. Matched: iot, darpa. Attachment text was included in the screen.",None identified,Ignore,No obvious vehicle restriction,Not Applicable,No special eligibility found in SAM.gov fields.,Prime feasible,Monitor as a direct pursuit unless attachments indicate otherwise.,None detected,https://sam.gov/workspace/contract/opp/ff4a04859a05458a9f7437c9d33e6c68/view,"https://sam.gov/api/prod/opps/v3/opportunities/resources/files/507668b4364f4283be49cd794d39bf5d/download
{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=ff4a04859a05458a9f7437c9d33e6c68&limit=1'}",RFI Coordinator,DARPA-SN-26-124@darpa.mil,Primary NAICS 541715,Partial Refresh — Capacity Reached,High — attachment text read,Below Butler-fit threshold,special notice,,Attachment text read
Rejected,D,3,RFP / Solicitation,Resilient,DEPT OF DEFENSE.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).DEF ADVANCED RESEARCH PROJECTS AGCY,,Solicitation,f0e3e0d303254053922d9b2c7a67e878,DARPA-PA-25-07-04,2026-10-19,40,541715,AC12,,,Not stated,,Not a Butler-fit opportunity under the current conservative filter. Matched: darpa. Attachment text was included in the screen.,None identified,Ignore,No obvious vehicle restriction,Not Applicable,No special eligibility found in SAM.gov fields.,Prime feasible,Monitor as a direct pursuit unless attachments indicate otherwise.,None detected,https://sam.gov/workspace/contract/opp/f0e3e0d303254053922d9b2c7a67e878/view,"https://sam.gov/api/prod/opps/v3/opportunities/resources/files/131ab040d030480891fc5789a2a0438e/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/510c087803b84fd39c37aaa0f131edbb/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/5cdd6cba6c77466592fc8c3e79114b49/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/b095fffa8e1e4499a994a36b60289827/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/b0ecda32dd8748eca6504a6bbfea7f70/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/c6afcdacebb24a01b0db1cac20a23b1c/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/f9841a87f5aa43db8822905f641054f2/download
{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=f0e3e0d303254053922d9b2c7a67e878&limit=1'}",BAA Coordinator,Resilient@darpa.mil,Primary NAICS 541715,Partial Refresh — Capacity Reached,High — attachment text read,Below Butler-fit threshold,solicitation,,Attachment skipped: too large; Attachment text read; Attachment text read
Rejected,D,-2,RFP / Solicitation,"FTA Broad Agency Announcement (FY26) -- “Research Initiatives in Support of Safety, Accessibility, and Mobility in Public Transportation","TRANSPORTATION, DEPARTMENT OF.FEDERAL TRANSIT ADMINISTRATION.693195 OFFICE OF ACQUISITION MGT",,Solicitation,9fac6a86bf4f4561bd8bd464284d6297,693195-26-BAA-0001,2026-10-19,40,541715,AS12,No Set aside used,"Washington, District of Columbia, UNITED STATES",Not stated,,Not a Butler-fit opportunity under the current conservative filter. Attachment text was included in the screen.,None identified,Ignore,No obvious vehicle restriction,Not Applicable,No special eligibility found in SAM.gov fields.,Prime feasible,Monitor as a direct pursuit unless attachments indicate otherwise.,None detected,https://sam.gov/workspace/contract/opp/9fac6a86bf4f4561bd8bd464284d6297/view,"https://sam.gov/api/prod/opps/v3/opportunities/resources/files/610abab14baa45ffb47014b685784a9d/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/61d52a9d266a4b86bf25bfbd4c99ed6d/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/6ba48ba6b4a140189fd7a7f6da8f5de0/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/b0b0ebe77e394e6eab2a3a5cf5c8191d/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/f82878950d0642c88a6f679c6b733465/download
{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=9fac6a86bf4f4561bd8bd464284d6297&limit=1'}",Tennile Palmer,tennile.palmer.ctr@dot.gov,Primary NAICS 541715,Partial Refresh — Capacity Reached,High — attachment text read,Below Butler-fit threshold,combined synopsis/solicitation,,Attachment text read; Attachment text read; Attachment text read
Rejected,D,3,RFP / Solicitation,Team Submarine Combat Systems Follow-On,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSEA.NAVSEA WARFARE CENTER.NUWC DIV NEWPORT,,Solicitation,1343c14ec7504509a5d6ae5169dab206,N6660426R3104_ADVANCE_NOTICE,2026-10-15,36,541330,R408,,,Not stated,,"Not a Butler-fit opportunity under the current conservative filter. Matched: navy, navsea, nuwc.",None identified,Ignore,No obvious vehicle restriction,Not Applicable,No special eligibility found in SAM.gov fields.,Prime feasible,Monitor as a direct pursuit unless attachments indicate otherwise.,None detected,https://sam.gov/workspace/contract/opp/1343c14ec7504509a5d6ae5169dab206/view,"{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=1343c14ec7504509a5d6ae5169dab206&limit=1'}",Devin Santerre,devin.t.santerre.civ@us.navy.mil,Primary NAICS 541330,Partial Refresh — Capacity Reached,High,Below Butler-fit threshold,presolicitation,,No downloadable attachment links found.
Rejected,D,3,RFP / Solicitation,Selective Harnessing of Intrinsic Neuroplasticity Engineering (SHINE),DEPT OF DEFENSE.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).DEF ADVANCED RESEARCH PROJECTS AGCY,,Solicitation,3ac25ac710fb438e8d25d99783cee845,DARPA-PA-25-07-06,2026-10-09,30,541715,AC11,,,Not stated,,Not a Butler-fit opportunity under the current conservative filter. Matched: darpa. Attachment text was included in the screen.,None identified,Ignore,No obvious vehicle restriction,Not Applicable,No special eligibility found in SAM.gov fields.,Prime feasible,Monitor as a direct pursuit unless attachments indicate otherwise.,None detected,https://sam.gov/workspace/contract/opp/3ac25ac710fb438e8d25d99783cee845/view,"https://sam.gov/api/prod/opps/v3/opportunities/resources/files/0f21ec1c141c43a7a88db3b14f536b35/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/3f4f21519be9418997b495a94ac1c760/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/7d5ce697533548aaa115e78ce3b16d79/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/cdc01e8ccb8841d5bd218354d6605731/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/fc6e45d49d0e49788bb6e817080a74e1/download
{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=3ac25ac710fb438e8d25d99783cee845&limit=1'}",BAA Coordinator,SHINE@darpa.mil,Primary NAICS 541715,Partial Refresh — Capacity Reached,High — attachment text read,Below Butler-fit threshold,solicitation,,Attachment text read; Attachment text read; Attachment text read
Rejected,D,3,RFP / Solicitation,"29--COOLER,LUBRICATING, IN REPAIR/MODIFICATION OF",DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP WEAPON SYSTEMS SUPPORT.NAVSUP WSS PHILADELPHIA.NAVSUP WEAPON SYSTEMS SUPPORT,,Solicitation,0b6727d00c274ea0a524659318e3cf82,N0038326QBA68,2026-10-09,30,336412,2935,,,Not stated,,"Not a Butler-fit opportunity under the current conservative filter. Matched: navy, navsup.",None identified,Ignore,No obvious vehicle restriction,Not Applicable,No special eligibility found in SAM.gov fields.,Prime feasible,Monitor as a direct pursuit unless attachments indicate otherwise.,None detected,https://sam.gov/workspace/contract/opp/0b6727d00c274ea0a524659318e3cf82/view,"{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=0b6727d00c274ea0a524659318e3cf82&limit=1'}",Telephone: 2156972782,DEVON.M.MCNAMEE.CIV@US.NAVY.MIL,Primary NAICS 336412,Partial Refresh — Capacity Reached,High,Below Butler-fit threshold,solicitation,,No downloadable attachment links found.
Rejected,D,3,RFP / Solicitation,"FMS Repair, QTY 5, NIIN 011589683",DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP WEAPON SYSTEMS SUPPORT.NAVSUP WSS PHILADELPHIA.NAVSUP WEAPON SYSTEMS SUPPORT,,Solicitation,a653777c8e9a4ad782d05b44373b4ec3,N0038326QF178,2026-10-09,30,336413,1650,,"Philadelphia, Pennsylvania, UNITED STATES",Not stated,,"Not a Butler-fit opportunity under the current conservative filter. Matched: navy, navsup.",None identified,Ignore,No obvious vehicle restriction,Not Applicable,No special eligibility found in SAM.gov fields.,Prime feasible,Monitor as a direct pursuit unless attachments indicate otherwise.,None detected,https://sam.gov/workspace/contract/opp/a653777c8e9a4ad782d05b44373b4ec3/view,"{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=a653777c8e9a4ad782d05b44373b4ec3&limit=1'}",Telephone: 2156982198,TAYLOR.M.OCONNOR2.CIV@US.NAVY.MIL,Primary NAICS 336413,Partial Refresh — Capacity Reached,High,Below Butler-fit threshold,presolicitation,,No downloadable attachment links found.
Rejected,D,3,RFP / Solicitation,"16--SKIRT ASSY,LONG,AIR, IN REPAIR/MODIFICATION OF",DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP WEAPON SYSTEMS SUPPORT.NAVSUP WSS PHILADELPHIA.NAVSUP WEAPON SYSTEMS SUPPORT,,Solicitation,75f82dbffb534e58bb6b7d522358e5ef,N0038326QBA67,2026-10-09,30,336413,1680,,,Not stated,,"Not a Butler-fit opportunity under the current conservative filter. Matched: navy, navsup.",None identified,Ignore,No obvious vehicle restriction,Not Applicable,No special eligibility found in SAM.gov fields.,Prime feasible,Monitor as a direct pursuit unless attachments indicate otherwise.,None detected,https://sam.gov/workspace/contract/opp/75f82dbffb534e58bb6b7d522358e5ef/view,"{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=75f82dbffb534e58bb6b7d522358e5ef&limit=1'}",Telephone: 2156972782,DEVON.M.MCNAMEE.CIV@US.NAVY.MIL,Primary NAICS 336413,Partial Refresh — Capacity Reached,High,Below Butler-fit threshold,solicitation,,No downloadable attachment links found.
Rejected,D,3,RFP / Solicitation,"FMS Repair, QTY 5, NIIN 014806542",DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP WEAPON SYSTEMS SUPPORT.NAVSUP WSS PHILADELPHIA.NAVSUP WEAPON SYSTEMS SUPPORT,,Solicitation,17f27b8ab745466f945a01169dee5f68,N0038326QF176,2026-10-09,30,336413,1680,,"Philadelphia, Pennsylvania, UNITED STATES",Not stated,,"Not a Butler-fit opportunity under the current conservative filter. Matched: navy, navsup.",None identified,Ignore,No obvious vehicle restriction,Not Applicable,No special eligibility found in SAM.gov fields.,Prime feasible,Monitor as a direct pursuit unless attachments indicate otherwise.,None detected,https://sam.gov/workspace/contract/opp/17f27b8ab745466f945a01169dee5f68/view,"{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=17f27b8ab745466f945a01169dee5f68&limit=1'}",Telephone: 2156982198,TAYLOR.M.OCONNOR2.CIV@US.NAVY.MIL,Primary NAICS 336413,Partial Refresh — Capacity Reached,High,Below Butler-fit threshold,presolicitation,,No downloadable attachment links found.
