error_type,query_parameters,http_status_code,retry_count,cached_data_used,partial_results_preserved
RateLimitError,"{'postedFrom': '09/03/2026', 'postedTo': '09/10/2026', 'rdlfrom': '09/10/2026', 'rdlto': '12/09/2026', 'status': 'active', 'limit': 1000, 'ccode': '1830', 'ptype': 'r,p,o,k,s,u', 'offset': 0, 'api_key': '[REDACTED]'}",429,3,False,True
RateLimitError,"{'postedFrom': '09/03/2026', 'postedTo': '09/10/2026', 'rdlfrom': '09/10/2026', 'rdlto': '12/09/2026', 'status': 'active', 'limit': 1000, 'ccode': '1830', 'ptype': 'r,p,o,k,s,u'}",,3,False,True
RateLimitError,"{'postedFrom': '09/03/2026', 'postedTo': '09/10/2026', 'rdlfrom': '09/10/2026', 'rdlto': '12/09/2026', 'status': 'active', 'limit': 1000, 'ccode': '1840', 'ptype': 'r,p,o,k,s,u', 'offset': 0, 'api_key': '[REDACTED]'}",429,3,False,True
RateLimitError,"{'postedFrom': '09/03/2026', 'postedTo': '09/10/2026', 'rdlfrom': '09/10/2026', 'rdlto': '12/09/2026', 'status': 'active', 'limit': 1000, 'ccode': '1840', 'ptype': 'r,p,o,k,s,u'}",,3,False,True
RateLimitError,"{'postedFrom': '09/03/2026', 'postedTo': '09/10/2026', 'rdlfrom': '09/10/2026', 'rdlto': '12/09/2026', 'status': 'active', 'limit': 1000, 'organizationCode': '097', 'ptype': 'r,p,o,k,s,u', 'offset': 0, 'api_key': '[REDACTED]'}",429,3,False,True
RateLimitError,"{'postedFrom': '09/03/2026', 'postedTo': '09/10/2026', 'rdlfrom': '09/10/2026', 'rdlto': '12/09/2026', 'status': 'active', 'limit': 1000, 'organizationCode': '097', 'ptype': 'r,p,o,k,s,u'}",,3,False,True
RateLimitError,"{'postedFrom': '09/03/2026', 'postedTo': '09/10/2026', 'rdlfrom': '09/10/2026', 'rdlto': '12/09/2026', 'status': 'active', 'limit': 1000, 'organizationCode': '1700', 'ptype': 'r,p,o,k,s,u', 'offset': 0, 'api_key': '[REDACTED]'}",429,3,False,True
RateLimitError,"{'postedFrom': '09/03/2026', 'postedTo': '09/10/2026', 'rdlfrom': '09/10/2026', 'rdlto': '12/09/2026', 'status': 'active', 'limit': 1000, 'organizationCode': '1700', 'ptype': 'r,p,o,k,s,u'}",,3,False,True
RateLimitError,"{'postedFrom': '09/03/2026', 'postedTo': '09/10/2026', 'rdlfrom': '09/10/2026', 'rdlto': '12/09/2026', 'status': 'active', 'limit': 1000, 'organizationCode': '2100', 'ptype': 'r,p,o,k,s,u', 'offset': 0, 'api_key': '[REDACTED]'}",429,3,False,True
RateLimitError,"{'postedFrom': '09/03/2026', 'postedTo': '09/10/2026', 'rdlfrom': '09/10/2026', 'rdlto': '12/09/2026', 'status': 'active', 'limit': 1000, 'organizationCode': '2100', 'ptype': 'r,p,o,k,s,u'}",,3,False,True
RateLimitError,"{'postedFrom': '09/03/2026', 'postedTo': '09/10/2026', 'rdlfrom': '09/10/2026', 'rdlto': '12/09/2026', 'status': 'active', 'limit': 1000, 'organizationCode': '5700', 'ptype': 'r,p,o,k,s,u', 'offset': 0, 'api_key': '[REDACTED]'}",429,3,False,True
RateLimitError,"{'postedFrom': '09/03/2026', 'postedTo': '09/10/2026', 'rdlfrom': '09/10/2026', 'rdlto': '12/09/2026', 'status': 'active', 'limit': 1000, 'organizationCode': '5700', 'ptype': 'r,p,o,k,s,u'}",,3,False,True
