Status,Fit Category,Fit Score,Opportunity Stage,Opportunity Title,Agency,Office,Notice Type,Notice ID,Solicitation Number,Due Date,Days Until Due,NAICS,PSC,Set-Aside,Place of Performance,Contract Value / Ceiling,Contract Value Source Text,Why It Fits Butler,Feasibility Concern,Recommended Next Step,SeaPort / Vehicle Required,Eligibility Status,Eligibility Requirement,Prime Feasibility,Subcontract / Teaming Path,Eligibility Notes,SAM.gov Link,Attachment Links,Contact Name,Contact Email,Search Source,Refresh Status,Data Confidence,Rejection Reason,Raw Notice Type,Matched Negative Keywords,Capacity / Logging Notes
Rejected,D,3,Sources Sought / RFI,"SEEK EAGLE MODELING, ANALYSIS, AND TOOLS SUPPORT (SEMATS) 4",DEPT OF DEFENSE.DEPT OF THE AIR FORCE.F1T4AD 96 TW SK,,Sources Sought,cf323f290a7a4bbdb7d4fc4510af24d3,FAXXXX-27-FAXXXX,2026-10-30,86,541715,AC13,,"0, Florida, UNITED STATES",Not stated,,Not a Butler-fit opportunity under the current conservative filter. Matched: air force.,None identified,Ignore,No obvious vehicle restriction,Not Applicable,No special eligibility found in SAM.gov fields.,Prime feasible,Monitor as a direct pursuit unless attachments indicate otherwise.,None detected,https://sam.gov/workspace/contract/opp/cf323f290a7a4bbdb7d4fc4510af24d3/view,"{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=cf323f290a7a4bbdb7d4fc4510af24d3&limit=1'}","Robert P. Romans, Jr.",robert.romans@us.af.mil,Primary NAICS 541715,Partial Refresh — Capacity Reached,High,Below Butler-fit threshold,sources sought,,No downloadable attachment links found.
Rejected,D,3,RFP / Solicitation,C-5 MLG Trunnion Bearing,DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR FORCE MATERIEL COMMAND.AIR FORCE SUSTAINMENT CENTER.FA8538  AFSC PZAAB,,Solicitation,534c573ed02648c48f0ad18f5f049991,FA8538260019,2026-10-27,83,336413,J031,No Set aside used,"Warner Robins, Georgia, UNITED STATES",Not stated,,Not a Butler-fit opportunity under the current conservative filter. Matched: air force. Attachment text was included in the screen.,None identified,Ignore,No obvious vehicle restriction,Not Applicable,No special eligibility found in SAM.gov fields.,Prime feasible,Monitor as a direct pursuit unless attachments indicate otherwise.,None detected,https://sam.gov/workspace/contract/opp/534c573ed02648c48f0ad18f5f049991/view,"https://sam.gov/api/prod/opps/v3/opportunities/resources/files/2f46aa5cec3e46f798ded6ba86d9a4b3/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/434a9333189041118f21cb04e80465c3/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/70abbc07cab146bb95b90557af2c6170/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/76509404b3dc4f05bb729313beeea92a/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/7af604bee9e84609b0da0a047cfa162d/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/7bda14a992df4f62b571131325c32119/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/912ac7d6eff648f4af413d92088c3b96/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/af8fde93ec094fe0a955958d41acd294/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/afb53f14fa73411e93a6e59fd18e7d0c/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/bcd15e2b20104ae8ae75a8a01f9c15c5/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/d134c3b7bb82450d988653a0736dec0d/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/e8e1661de6364a01aa2154c06d661d56/download
{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=534c573ed02648c48f0ad18f5f049991&limit=1'}",Alyssa Tanner,alyssa.tanner.1@us.af.mil,Primary NAICS 336413,Partial Refresh — Capacity Reached,High — attachment text read,Below Butler-fit threshold,solicitation,,Attachment text read; Attachment text read; Attachment text read
Rejected,D,3,RFP / Solicitation,HH-60W Degraded Visual Environment System(DVES) - FA8552-26-R-B001,"DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR FORCE MATERIEL COMMAND.AIR FORCE LIFE CYCLE MANAGEMENT CENTER.INTELLIGENCE, SURVEILLANCE, RECONNAISSANCE - SPECIAL OPERATIONS FORCES.FA8552  AFLCMC WIU",,Solicitation,9c260f8bec534db5a39b8678e0ff8be5,FA8552-26-R-B001,2026-10-08,64,336411,K015,No Set aside used,UNITED STATES,Not stated,,"Not a Butler-fit opportunity under the current conservative filter. Matched: air force, aflcmc. Attachment text was included in the screen.",None identified,Ignore,No obvious vehicle restriction,Not Applicable,No special eligibility found in SAM.gov fields.,Prime feasible,Monitor as a direct pursuit unless attachments indicate otherwise.,None detected,https://sam.gov/workspace/contract/opp/9c260f8bec534db5a39b8678e0ff8be5/view,"https://sam.gov/api/prod/opps/v3/opportunities/resources/files/0480552a169f4182b8411fac62d71f83/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/07dfa5c6eb024a4c806e4d8024944abf/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/0b127749fe554cfe8fd9599c723fd466/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/0b4e896b727b4a579b65c5534e92b09b/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/0ee1ca0aff454b6caf4f35403c862fc8/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/17f21c0619a9405a9437a2aa83c7448c/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/2537f43f081f484a9fd5f14ac2a4419a/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/4a64bdce9d2741f69644fe6bb1456fb6/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/4c767648bc134c84bc5393e1f1a8a92d/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/4ccfa560e17447b99c77b6d54aeea9da/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/53ad17fff4d74e1f89bd0b8ea355a247/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/5554b0947cb6403f9f3d905f5207ec1d/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/59eab2bf5f1e4a5588f86df1e9a46490/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/64d707d2bf15498ba071b82b7c48f2c2/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/7403cfa950c044fdaa188c93eeefb3dc/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/b0b0cb90182c4a6786891dcc720e129c/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/b51c949325784400a50364b995a4e818/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/c5fa7dafbfbc48e7be3f5ba33d8636c4/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/c77b5d3d55564cdeaec04474d0a7e698/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/d4d7c179749340ee89ddb18fb56fff65/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/ef9e4a21bea84ebe955e92e619bf9e22/download
{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=9c260f8bec534db5a39b8678e0ff8be5&limit=1'}","Theresa Younce, Contract Specialist",theresa.younce@us.af.mil,Primary NAICS 336411,Partial Refresh — Capacity Reached,High — attachment text read,Below Butler-fit threshold,solicitation,,Attachment text read; Attachment skipped: too large; Attachment text read
Rejected,D,3,RFP / Solicitation,Reentry Vehicle Integration Support Solicitation,DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR FORCE MATERIEL COMMAND.AIR FORCE NUCLEAR WEAPON CENTER.INTERCONTINENTAL BALLISTIC MISSILE.FA8219   AFNWC PZBG,,Solicitation,e81a58cdd92e4eed9600f1b8dd8be312,FA821926RB0001,2026-10-05,61,541330,AC24,No Set aside used,"Pennsylvania, UNITED STATES",Not stated,,Not a Butler-fit opportunity under the current conservative filter. Matched: air force. Attachment text was included in the screen.,None identified,Ignore,No obvious vehicle restriction,Not Applicable,No special eligibility found in SAM.gov fields.,Prime feasible,Monitor as a direct pursuit unless attachments indicate otherwise.,None detected,https://sam.gov/workspace/contract/opp/e81a58cdd92e4eed9600f1b8dd8be312/view,"https://sam.gov/api/prod/opps/v3/opportunities/resources/files/39e0852f0c6149a2a4434480c4084a29/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/abc55e057e444f7db088ffe8e7188042/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/d5b8cf205159427eb87a28108eb207ba/download
{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=e81a58cdd92e4eed9600f1b8dd8be312&limit=1'}","Johnny Billett, Jr. (JJ)",johnny.billett@us.af.mil,Primary NAICS 541330,Partial Refresh — Capacity Reached,High — attachment text read,Below Butler-fit threshold,solicitation,,Attachment skipped: too large; Attachment text read; Attachment text read
Rejected,D,3,Special Notice,ERIS Shopping Notice - Thermal Management,DEPT OF DEFENSE.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).DEF ADVANCED RESEARCH PROJECTS AGCY,,Special Notice,702af30df1fc4083b60678fa731e5f2d,DARPA-SN-26-103,2026-09-30,56,541715,AC11,,,Not stated,,Not a Butler-fit opportunity under the current conservative filter. Matched: darpa. Attachment text was included in the screen.,None identified,Ignore,No obvious vehicle restriction,Not Applicable,No special eligibility found in SAM.gov fields.,Prime feasible,Monitor as a direct pursuit unless attachments indicate otherwise.,None detected,https://sam.gov/workspace/contract/opp/702af30df1fc4083b60678fa731e5f2d/view,"https://sam.gov/api/prod/opps/v3/opportunities/resources/files/017a336a59cc40a78c4e42932ae1ba6e/download
{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=702af30df1fc4083b60678fa731e5f2d&limit=1'}",ERIS Coordinator,ERIS@darpa.mil,Primary NAICS 541715,Partial Refresh — Capacity Reached,High — attachment text read,Below Butler-fit threshold,special notice,,Attachment text read
Rejected,D,3,RFP / Solicitation,"ManTech special Broad Agency Announcement (sBAA): Accelerating Maritime Modernization: Innovation in Naval Manufacturing, Sustainment, and Industrial Base Capability",DEPT OF DEFENSE.DEPT OF THE NAVY.ONR.ONR HQS.OFFICE OF NAVAL RESEARCH,,Solicitation,a440305c57ce43c19148ec2864ea550a,N0001426SB002,2026-09-14,40,541715,AC13,,,Not stated,,Not a Butler-fit opportunity under the current conservative filter. Matched: navy.,None identified,Ignore,No obvious vehicle restriction,Not Applicable,No special eligibility found in SAM.gov fields.,Prime feasible,Monitor as a direct pursuit unless attachments indicate otherwise.,None detected,https://sam.gov/workspace/contract/opp/a440305c57ce43c19148ec2864ea550a/view,"{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=a440305c57ce43c19148ec2864ea550a&limit=1'}","Marsh, Stephanie L.",stephanie.l.marsh6.civ@us.navy.mil,Primary NAICS 541715,Partial Refresh — Capacity Reached,High,Below Butler-fit threshold,solicitation,,No downloadable attachment links found.
Rejected,D,-2,RFP / Solicitation,Cooperative Driving Automation (CDA) Small-Scale Industry Prototype,"TRANSPORTATION, DEPARTMENT OF.FEDERAL HIGHWAY ADMINISTRATION.693JJ3 ACQUISITION AND GRANTS MGT",,Solicitation,fa7c3868d1de4478942fab3856ce243e,693JJ3-26-BAA-0005,2026-09-13,39,541715,AS13,No Set aside used,"Washington, District of Columbia, UNITED STATES",Not stated,,Not a Butler-fit opportunity under the current conservative filter. Attachment text was included in the screen.,None identified,Ignore,No obvious vehicle restriction,Not Applicable,No special eligibility found in SAM.gov fields.,Prime feasible,Monitor as a direct pursuit unless attachments indicate otherwise.,None detected,https://sam.gov/workspace/contract/opp/fa7c3868d1de4478942fab3856ce243e/view,"https://sam.gov/api/prod/opps/v3/opportunities/resources/files/070adaa34a8242a998df5dbae716b206/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/770fbd8c3fc448b5958a201860337188/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/b216be2db023410c92fbecf970fef52b/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/f48f7ee476d049cb87e05626e5295a6c/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/ffb35af30ffd4dfdb560cb62e837c306/download
{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=fa7c3868d1de4478942fab3856ce243e&limit=1'}",Jessica  Prutz,jessica.prutz@dot.gov,Primary NAICS 541715,Partial Refresh — Capacity Reached,High — attachment text read,Below Butler-fit threshold,solicitation,,Attachment text read; Attachment text read; Attachment text read
Rejected,D,-2,RFP / Solicitation,Chemistry Research for the Division of Translational Toxicology (DTT),"HEALTH AND HUMAN SERVICES, DEPARTMENT OF.NATIONAL INSTITUTES OF HEALTH.NATIONAL INSTITUTES OF HEALTH NICHD",,Solicitation,3868ef79087b4ca08654c07e92f019a6,75N94026R00002,2026-09-11,37,541715,AJ11,No Set aside used,UNITED STATES,Not stated,,Not a Butler-fit opportunity under the current conservative filter. Attachment text was included in the screen.,None identified,Ignore,No obvious vehicle restriction,Not Applicable,No special eligibility found in SAM.gov fields.,Prime feasible,Monitor as a direct pursuit unless attachments indicate otherwise.,None detected,https://sam.gov/workspace/contract/opp/3868ef79087b4ca08654c07e92f019a6/view,"https://sam.gov/api/prod/opps/v3/opportunities/resources/files/27e61919ae21444b9c8ded70f593fdcc/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/43e5df570ee34ab0b10203081ca587e1/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/6c21d2562ee948809e7d516dab718c29/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/94ec28a1b679421e98c5003c372ecfb6/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/bd69e95c30bf4e1eb7484e3c223eabf4/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/c0a63e4ce884468484aae7d1af4128c7/download
{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=3868ef79087b4ca08654c07e92f019a6&limit=1'}","BANK, SARAH N",sarah.bank@nih.gov,Primary NAICS 541715,Partial Refresh — Capacity Reached,High — attachment text read,Below Butler-fit threshold,solicitation,,Attachment text read; Attachment text read; Attachment text read
Rejected,D,-2,Sources Sought / RFI,Domestic Datalink Services (DDLS) Market Survey 2,"TRANSPORTATION, DEPARTMENT OF.FEDERAL AVIATION ADMINISTRATION.693KA8 SYSTEM OPERATIONS CONTRACTS",,Sources Sought,c3558ea8412c42cb910d57490146d52a,693KA8-26-R-DDLS2,2026-09-09,35,517111,R425,No Set aside used,"Washington, District of Columbia, UNITED STATES",Not stated,,Not a Butler-fit opportunity under the current conservative filter. Attachment text was included in the screen.,None identified,Ignore,No obvious vehicle restriction,Not Applicable,No special eligibility found in SAM.gov fields.,Prime feasible,Monitor as a direct pursuit unless attachments indicate otherwise.,None detected,https://sam.gov/workspace/contract/opp/c3558ea8412c42cb910d57490146d52a/view,"https://sam.gov/api/prod/opps/v3/opportunities/resources/files/54283b5cf5fc41b18edfca71c0325189/download
https://sam.gov/api/prod/opps/v3/opportunities/resources/files/c06123bac7d4458f9bf47176c4f369b1/download
{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=c3558ea8412c42cb910d57490146d52a&limit=1'}",Pearl Winston,pearl.a.winston@faa.gov,PSC R425,Partial Refresh — Capacity Reached,High — attachment text read,Below Butler-fit threshold,sources sought,,Attachment text read; Attachment text read
Rejected,D,3,RFP / Solicitation,"16--RESISTOR,THERMAL, IN REPAIR/MODIFICATION OF",DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP WEAPON SYSTEMS SUPPORT.NAVSUP WSS PHILADELPHIA.NAVSUP WEAPON SYSTEMS SUPPORT,,Solicitation,95d7f6aaca7b4e159868886700744486,N0038325RT536,2026-09-08,34,336413,1680,,,Not stated,,"Not a Butler-fit opportunity under the current conservative filter. Matched: navy, navsup.",None identified,Ignore,No obvious vehicle restriction,Not Applicable,No special eligibility found in SAM.gov fields.,Prime feasible,Monitor as a direct pursuit unless attachments indicate otherwise.,None detected,https://sam.gov/workspace/contract/opp/95d7f6aaca7b4e159868886700744486/view,"{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=95d7f6aaca7b4e159868886700744486&limit=1'}",Telephone: 2156973765,MICHAEL.J.BROWN1069.CIV@US.NAVY.MIL,Primary NAICS 336413,Partial Refresh — Capacity Reached,High,Below Butler-fit threshold,solicitation,,No downloadable attachment links found.
